Tezpur
Guwahati
Dibrugarh
Silchar
Jorhat
Nagaon
Tinsukia
Bongaigaon
Dhubri
Sivasagar
Barpeta
Goalpara
Diphu
Haflong
Kokrajhar
Karimganj
North Lakhimpur
Golaghat
Hailakandi
Nalbari
Lakhimpur
Rangia
Mangaldoi
Morigaon
Hojai
Biswanath Chariali
Bokakhat
Dhakuakhana
Sarupathar
Gauripur
Majuli
Sonari
Margherita
Makum
Sadiya
Dhekiajuli
Lumding
Barpeta Road
Mariani
Howly
Hatsingimari
Sibsagar
Badarpur
Pathsala
Chapar
Bijni
Abhayapuri
Jagiroad
Boko
Amguri
Silapathar
Doom Dooma
Gohpur
Charaideo
Sorbhog
Rangapara
Kampur
Hamren
Moran
Naharkatia
Titabar
Barama
Tangla
Bhawanipur
Sualkuchi
Raha
Kharupetia
Barhampur
Mahur
Moranhat
Borholla
Tingrai
Lalganesh
Namrup
Digboi
Bihpuria
Gossaigaon
Numaligarh
Sarthebari
Bokajan
Tamulpur
Azara
Hajo
Baihata Chariali
Dhing
Marigaon
Duliajan
Lanka
Udalguri
Kamrup
Darrang
Sipajhar
Dhemaji
Bilasipara
Kalgachia
Sarbhog
Sukchar
Lakhipur
Halem
Rowta
Bhuragaon
Doboka
Kampur Town
Mazbat
Howraghat
Patharkandi
Golokganj
Bijoynagar
Doomdooma
Dergaon
Baksa
Cachar
Chirang
Dima Hasao
Kamrup Metropolitan
Karbi Anglong
Sonitpur
South Salmara- Mankachar
West Karbi Anglong
Biswanath
Bjali
Odalguri
Bhergaon
Amingaon
Palashbari
Kamrup Metro
North Guwahati
Dokmoka
Donkamokam
Dansiri
Borpathar
Kajalgaon
Basugaon
Chabua
Umrangso
Maibong
Maibang
Chapakhowa
Namkhola
Duni
Gouripur
Sapatgram
South Salmara
Jonai
Roha
Kaliabor
Hatbor
Tihu
North Salmari
Howli
Bajali
Musalpur
Salbari
Goreswar
Mayong
Jagi Bhakatgaon
Borduba
Teok
Garmurh
Titabor
Dhakuakhona
Simaluguri
Nazira
sonitpur
Biswnath
Lala
Anand Nagar
Asudubi
Badarpur Rly Town
Bamun Sualkuchi
Bandardewa IID
Bangaon
Barpathar
Changsari
Chapakhowa Town
Charingia Gaon
Chekonidhara
Dahali
Dalgaon
Damara Patpara
Dharapur
Dhekorgorha
Digaru Gaon
Hindustan Paper Corporation Ltd Township Panchgram
Panchgram
Irongmara
Jamunamukh
Jhagra Pt III
Jonai Bazar
Kakaya
Kalaigaon Town Part
Kamalabaria NC
Kanisail Pt I
Khaira Bari
BCPL Township
Behiating AIDC
Belsor
Bhomoraguri AIDC
Dispur
Kharijapikon
Dudhpatil Pt V
Kharupatia
Bohari
Dudhpatil Pt VI
Kochpara
Duliajan No 1
Durga Nagar Part-V
Bongaigaon RPCL
Garal
Township
Borgolai Gt 11
Borpukhuri
Lido Town
Chalantapara Pt IV
Chandrapur Bagicha
Kumar Kaibarta Gaon
Lakhipur, Cachar District
Lido Tikok
Lumding Rly Colony
Majgaon
Mankachar
Marowa
Moran Town
Mornoi Industrial Area
Mushalpur
Naharkatiya
Nahira
Narayanpur
Naubaisa Gaon
New Bongaigaon
Railway Colony
Niz Bahjani
Niz Hajo
Niz Katigorah Pt III
Niz Mankata
Refinery Township
Palasbari
Pub Dhaniram Pather
Rangia IIDC
Rani
Rupahi Town
Rupiabathan
Salakati
Salpara Molandubi Pt I
Sanpara
Sarupathar Bengali
Sepon
Sonapur Gaon
Takhlibilar Pathar
Tegheria
Thekashu Pt I
Thekashu Pt II
Titabor Town
